Key,Context,English
esc_headerTitle,UI,"Dishong Tower Challenge"
esc_headerMotto,UI,"Brought to you by HellsJanitor"
esc_footer_discord_label,UI,"HellsJanitor Discord"

tabButtonTitle1,,"Rules"
tabTitle1,,"Welcome to the Dishong Tower Challenge"
tabBody1,,"Fight your way up the top of the tower, looting and crafting everything you need to craft a gyrocopter to make your escape from the top. Failure is not an option. You have [c26700]ONE[-] life. Make it count.\n\n[ede100]1:[-] All [c26700]DEFAULT[-] player blockdamage, zombie block damage, XP gain etc. Loot percentage should be [c26700]no higher[-] than [c26700]100%[-].\n\n[ede100]2:[-] You may set loot percentage [c26700]LOWER[-] than [c26700]100%[-], you may set enemy block damage [c26700]HIGHER[-] than [c26700]100%[-], player block damage [c26700]LOWER[-] than [c26700]100%[-].  You may set your loot respawn time, bloodmoon interval, difficulty, run speeds and such to whatever you please.\n\n[ede100]3:[-] You [c26700]must[-] enter the Dishong Tower [c26700]immediately[-] (being on the front porch counts as being in) and [c26700]cannot leave[-] thereafter.\n\n[ede100]4:[-] The rubble on the ground around the tower is [c26700]NOT[-] part of the tower, and as such may [c26700]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [c26700]WITHOUT[-] touching it.\n\n[ede100]5:[-] You may build bridges off the side of the building to reach things, but those bridges [c26700]must support themselves and cannot touch the ground.[-]\n\n[ede100]6:[-] You may [c26700]not[-] mine or dig under the building.\n\n[ede100]7:[-] If you die, the [c26700]GAME IS OVER[-].\n\n[ede100]8:[-] You must survive until you are able to build a gyrocopter and fly to the safety of the trader compound.\n\n\n"
tabButtonTitle2,,"Tips 1"
tabTitle2,,"Tips 1"
tabBody2,,"[ede100]1.[-][c26700] Seeds[-] - All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are SOME usuable farmplots in the tower...\n\n[ede100]2.[-][c26700] Zombie Loot[-] - Almost every zombie will drop a loot bag once dead, and specific zombies will have a chance to drop specific loot.\n\n[ede100]3.[-][c26700] Skill Magazines[-] - Skill magazines can be found in their usual places, and certain zombies have a chance to give certain magazines in their loot bag.\n\n[ede100]4.[-][c26700] Looting[-] - Loot respawn is integral to completing this challenge. Loot will automatically restock after a certain period of time, determined by the 'Loot Respawn' number you set before starting the game.\n\n[ede100]5.[-][c26700] Zombie Respawns[-] - Zombies can now be set to respawn after a time you decide. Check the 'Dishong' tab on the main menu, and set the number of days you want between zombies respawning in the tower.\n\n[ede100]6.[-][c26700] Resources[-] - Resources are scarce in the tower, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."
tabButtonTitle3,,"Tips 2"
tabTitle3,,"Tips 2"
